amendment_id,instrument_id,amending_instrument_id,change_summary,enactment_date,effective_date,verification_status
CN-PSAPL-AM1,CN-PSAPL,,"2025 revision passed by NPC Standing Committee. Added Art. 89 addressing pet-related nuisance (fine up to RMB 1,000) and dangerous-dog keeping/selling (detention up to 10 days). NOT an anti-cruelty provision - Art.89's text does not use the word 虐待, despite widespread secondary-source claims to the contrary.",2025-06-27,2026-01-01,verified
CN-WPL-AM1,CN-WPL,,"2022 revision added Art. 26 (explicit prohibition on abusing captive-bred wildlife plus space/health/breeding-condition requirements), Art. 27 (keeper liability for harm caused by captive wildlife), and Art. 31 (comprehensive ban on eating protected and other terrestrial wild animals, making the 2020 post-COVID emergency decision permanent).",2022-12-30,2023-05-01,verified
FR-CP521-AM1,FR-CP521,FR-LOI2021,"Loi 2021-1539 raised sentencing tiers for existing sévices/cruauté offences, added new sexual-abuse offences (arts. 521-1-1/2/3) and a filming/broadcasting offence (art. 39), and created a distinct offence for killing a domestic animal outside the sévices/cruauté framework (art. 27, 6mo/€7,500).",2021-11-30,2021-12-02,verified
FR-CC515-AM1,FR-CC515,,"Loi n° 2015-177 du 16 février 2015 created Code civil art. 515-14, recognizing animals as 'des êtres vivants doués de sensibilité' (living beings endowed with sentience) for the first time in French civil law, without granting legal personality - animals remain subject to the property (biens) regime except as protected by specific laws.",2015-02-16,2015-02-18,verified
DE-TSCHG-AM1,DE-TSCHG,,"Most recent statutory amendment to TierSchG (Art. 2 Abs. 20 of the Act of 20 December 2022, BGBl. I S. 2752). A 2024 government bill (BT-Drs. 20/12719) proposing aggravated-offence qualifiers for S17 died with the 20th legislative period's dissolution (4 Sept 2024); the 21st period's coalition agreement (CDU/CSU/SPD) excludes S17 reform; a narrower bill introduced 2026-07-01 (BT-Drs. 21/6809) addresses only slaughter-related welfare, explicitly not S17.",2022-12-20,2022-12-20,verified
CH-TSCHG-AM1,CH-TSCHG,,"Original TSchG enacted by federal parliament 2005-12-16, subject to optional referendum. Entry into force was delayed nearly three years, to 2008-09-01, pending resolution of a competing popular initiative ('fuer einen zeitgemaessen Tierschutz'), which was ultimately withdrawn. Repealed the prior Tierschutzgesetz of 9 March 1978. No confirmed SUBSTANTIVE statutory amendment identified 2015-2026 (a 2022 popular initiative on factory farming was REJECTED by voters 2022-09-25 and did not change the law; a 2025 ordinance-level revision was noted but not examined).",2005-12-16,2008-09-01,verified
KR-APA-AM1,KR-APA,,"Comprehensive revision (전부개정), Act No.18853, promulgated 2022-04-26. Core provisions effective 2023-04-27 (raised top-tier penalty from 2yr/20M to 3yr/30M won, added neglect-causing-death as abuse, criminalized abuse-footage distribution, introduced private-shelter registration). Second tranche (dangerous-dog licensing, pet-behavior-specialist qualification, welfare-farm certification) effective 2024-04-27.",2022-04-26,2023-04-27,verified
US-FED-T18S48-AM1,US-FED-T18S48,US-FED-PACT,PACT Act (Pub.L.116-72) expanded S48 from criminalizing only the filming/distribution of animal crushing to criminalizing the underlying conduct itself.,2019-11-25,2019-11-25,verified
CA-FED-CC-AM1,CA-FED-CC44547,,"2008, c.12 ('Serge's Law'): raised max penalties for ss.445/445.1/447 to 5yr indictable and added the s.447.1 prohibition/restitution-order mechanism. Exact day/month not confirmed this round.",,,verified
CA-FED-CC-AM2,CA-FED-CC44547,,"2018, c.29 (Budget Implementation Act No.2, 2018): repealed s.444 (folded cattle-specific killing into s.445's general language), amended s.447.1 restitution-order mechanics. Exact day/month not confirmed this round.",,,verified
CA-FED-CC-AM3,CA-FED-CC44547,,"2019, c.17 (Bill C-84), Royal Assent 2019-06-21: added a statutory bestiality definition to s.160 (legislatively overriding R. v. D.L.W., 2016 SCC), broadened animal-fighting participation liability (training/transporting/breeding for fighting), set a 5-year MINIMUM prohibition order for repeat offenders under s.447.1.",2019-06-21,2019-06-21,verified
CA-FED-CC-AM4,CA-FED-CC44547,,"2019, c.25 (Bill C-75, broader Criminal Code modernization/hybrid-offence reclassification): technical amendments to ss.445, 445.1, 446, 447. Exact day/month not confirmed this round.",,,verified
UK-ENG-AWA2006-AM1,UK-ENG-AWA2006,UK-ENG-AWSA2021,"Animal Welfare (Sentencing) Act 2021 raised the maximum penalty for offences under ss.4,5,6(1)-(2),7,8 from 6 months (summary-only) to 5 years on indictment with an unlimited fine.",2021-04-29,2021-06-29,verified
TW-APA-AM1,TW-APA,,"Penalty-raising amendment (2yr/NT$2M ceiling for Art.25, dog/cat-meat sale ban) passed Legislative Yuan 2017-04-11, promulgated 2017-04-26 - widely mis-cited in secondary sources as a 2015 amendment.",2017-04-11,2017-04-26,verified
TW-APA-AM2,TW-APA,,"Filming/distribution offence (Art.27-1) added - up to 1yr/NT$30,000 for spreading cruelty depictions, exempting academic/public-interest use.",2010-01-27,2010-01-27,verified
HK-CAP169-AM1,HK-CAP169,,"Prevention of Cruelty to Animals (Amendment) Bill 2006: raised the maximum penalty from HK$5,000/6 months to the current HK$200,000/3 years.",2006-12-06,2006-12-06,verified
