jurisdiction_id,name_en,name_local,legal_system,has_general_offence,enforcement_model,notes
CN,China (Mainland),中国大陆,civil_law,FALSE,police_administrative,"No dedicated anti-cruelty statute for companion/domestic animals. Protection is patchwork via Wildlife Protection Law (captive-bred wildlife only), Criminal Law Art. 341 (protected wildlife only), Public Security Administration Punishment Law Art. 89 (nuisance/dangerous dogs, NOT a cruelty provision), Animal Epidemic Prevention Law and its own Implementing Regulations (both disease-control/procedural only, confirmed twice to contain zero welfare content), and a wider sub-national patchwork coded 2026-09-15: a 2020-02-24 NPC Standing Committee Decision banning wildlife consumption (the national legal trigger, anchoring the wildlife/livestock boundary to a livestock catalogue) prompted Shenzhen, Zhuhai, Guangzhou, and Beijing to each pass supporting local legislation within about two months, all excluding cats/dogs by omission from a food-species whitelist rather than naming them, contrary to widespread media framing - Beijing folded its version into a comprehensive wildlife-law rewrite rather than a narrow ordinance. Shanghai, by contrast, repealed its old wildlife law in this same 2020 window but did not pass a replacement until 2023-06-20, operating without any local implementing regulation for over three years. Separately, Beijing, Shanghai, Guangzhou, and (per secondary sources) Chengdu have municipal dog-keeping ordinances explicitly prohibiting abusing/abandoning a dog - though Beijing's and Shanghai's abuse prohibitions carry no attached penalty of any kind, an enforcement gap verified by checking every cross-reference in each ordinance's penalty chapter, while Guangzhou's and Beijing's own separate wildlife-abuse duty (in its wildlife ordinance, not its dog ordinance) do carry real fines. A voluntary (non-mandatory) national technical standard for zoos, CJJ/T 263-2017, explicitly names animal welfare as a purpose and bans using wildlife for performances, but has no independent enforcement mechanism and a documented history (per a 2013 People's Daily report) of a predecessor MOHURD document going unenforced as ""a dead letter."" No welfare-relevant regulation could be located for circuses/animal-performance troupes at all (a different ministry has jurisdiction there) - a confirmed regulatory gap. A national comprehensive anti-cruelty law has been proposed by NPC delegates and academics since at least 2009 but has never advanced past the proposal stage (confirmed current as of 2026-09-15)."
TW,Taiwan,台灣,civil_law,TRUE,police_administrative,"Animal Protection Act 1998 (動物保護法), amended repeatedly; major penalty-raising amendment 2017-04-26 (often mis-cited as 2015). Central authority 農業部 (MOA); nationwide hotline 1959 since 2022."
HK,Hong Kong,香港,common_law,TRUE,police_administrative,"Cap. 169 Prevention of Cruelty to Animals Ordinance (1935); maximum penalty last raised in 2006, NOT 2023/2024 as some sources claim. Reform package (duty-of-care offence, indictable tier) under consultation since 2019, still unenacted as of Feb 2026. SPCA HK has no delegated statutory enforcement power."
MO,Macau,澳門,civil_law,TRUE,unverified,"Law No. 4/2016 (動物保護法), Macau's first dedicated animal-protection law. Access to primary/secondary sources severely restricted this session (bo.io.gov.mo, iam.gov.mo unreachable) - most fields below general_offence unverified."
JP,Japan,日本,civil_law,TRUE,hybrid,"Act on Welfare and Management of Animals 1973 (動物の愛護及び管理に関する法律); major 2019 reform staged through June 2022/2023/2024. Official English translation is stale (reflects only the 2005 text). Enforcement: MOE sets standards, prefectural welfare centers + police investigate."
KR,South Korea,대한민국,civil_law,TRUE,police_administrative,"Animal Protection Act 1991 (동물보호법); comprehensive 2022 revision (effective 2023-2024) raised top penalty to 3yr/30M won, criminalized abuse-footage distribution. 2024 dog-meat phase-out special act (separate law). Dogfighting not independently criminalized - only via the gambling provision, a documented loophole."
SG,Singapore,新加坡,common_law,TRUE,police_administrative,"Animals and Birds Act 1965 (Cap. 7), Part IV ss.41-48; major 2014 amendment effective 2015-01-16 added duty-of-care offence and disqualification orders. SPCA Singapore has no statutory enforcement power. Wildlife handled separately under the Wildlife Act 1965."
US-FED,United States (Federal),United States (Federal),common_law,FALSE,hybrid,"No general federal anti-cruelty offence - general cruelty/neglect/abandonment is exclusively state law. Federal statutes are narrow and commerce-tied: 18 U.S.C. §48 (animal crushing, expanded by the PACT Act 2019) and the Animal Welfare Act (7 U.S.C. §2131, licensed-facility standards only, with a narrow, exclusion-heavy definition of covered animals)."
CA-FED,Canada (Federal),Canada (Federal),common_law,TRUE,hybrid,Criminal Code ss.444-447.1 contains a genuinely general cruelty offence (s.445.1(1)(a)) with national reach - unlike the US. Note the internal inconsistency: s.446 (neglect/duty-of-care) caps at 2yr indictable while ss.445/445.1/447 cap at 5yr. Enforcement is provincial; Ontario abolished its private-charity (OSPCA) model in 2020 in favor of a government Animal Welfare Services body (PAWS Act).
UK-ENG,England and Wales,England and Wales,common_law,TRUE,private_prosecution,"Animal Welfare Act 2006 (ss.4 unnecessary suffering, s.9 duty of care); Animal Welfare (Sentencing) Act 2021 raised max penalty from 6mo to 5yr; Animal Welfare (Sentience) Act 2022 is a SEPARATE policy-scrutiny mechanism covering cephalopods/decapods, does NOT alter the 2006 Act's criminal-offence scope. RSPCA is the dominant private prosecutor."
UK-SCT,Scotland,Scotland,common_law,TRUE,hybrid,"Animal Health and Welfare (Scotland) Act 2006, same dual unnecessary-suffering/duty-of-care structure. Animals and Wildlife (Penalties, Protections and Powers) (Scotland) Act 2020 raised max to 5yr/£20,000 summary cap (NOT titled a 'sentencing and sentience' act - correcting a common misattribution). Scottish SPCA is a REPORTING agency to COPFS, not a private prosecutor like RSPCA."
UK-NI,Northern Ireland,Northern Ireland,common_law,TRUE,hybrid,"Welfare of Animals Act (Northern Ireland) 2011, ss.4/9/14 mirror the England & Wales structure. Enforcement split: DAERA (farmed animals), district councils (companion/kept animals, can prosecute), PSNI (wildlife/fighting/crime-linked cases). USPCA appears to function as an investigative/referral charity, NOT a private prosecutor equivalent to RSPCA - unconfirmed either way."
EU,European Union,European Union,civil_law,FALSE,not_applicable,"No EU-level criminal offence exists; TFEU Art. 13 is a cross-cutting sentience-mainstreaming policy principle, and Directive 98/58/EC imposes only a result obligation on member states (excludes invertebrates). Present as a framework/harmonization layer, not a peer 'anti-cruelty statute' entry. 2023-2026 Animal Welfare Package (dogs/cats traceability regulation) near-final adoption as of Sept 2026, exact date unresolved."
DE,Germany,Deutschland,civil_law,TRUE,hybrid,"Tierschutzgesetz (TierSchG) 1972, current consolidated version 2006 (amended 2022). §17 criminal offence covers VERTEBRATES ONLY, requires intent (negligence/attempt not punishable), and has no aggravated/qualified tier - a 2024 bill to add one died with the legislative period and the current coalition excludes reform. No official English translation confirmed current."
