study_id,jurisdiction_id,reform_evaluated,design_type,outcome_measure,citation,headline_finding,rigor_note,verification_tier
PES-US-01,US-FED,,descriptive_only,prosecution_rate,"Arluke, A., & Luke, C. (1997). Physical cruelty toward animals in Massachusetts, 1975-1996. Society & Animals, 5(3), 195-204.",Only ~0.33% of MSPCA abuse complaints were prosecuted; 70% of prosecuted abusers had prior violent/drug/disorder records.,"Massachusetts-specific (state-level, not federal) - assigned to US-FED as the closest available jurisdiction_id since no state-level entries exist in this database. This is the foundational paper that MOTIVATED states to pass felony provisions, not itself a before/after evaluation of felony-provision effects. No later 50-state panel study comparing felony adoption to prosecution/sentencing outcomes was found - a genuine gap.",snippet
PES-US-02,US-FED,,descriptive_only,offender/victim demographics via NIBRS,"Palais, J. (2021). Using the National Incident-Based Reporting System (NIBRS) to Study Animal Cruelty: Preliminary Results (2016-2019). Social Sciences, 10(10), 378. DOI 10.3390/socsci10100378.",Descriptive analysis of offender/victim demographics and offense type using 2016-2019 NIBRS data.,"Not a causal evaluation of the 2016 NIBRS policy itself - uses NIBRS as a data source to describe patterns, not to evaluate whether adding the category changed enforcement behavior.",snippet
PES-US-03,US-FED,,descriptive_only,"co-occurrence with intimate partner violence, arrest rate","Addington, L., & Randour, M. L. (2024). Using National Incident-Based Reporting System Data to Explore Animal Cruelty Incidents that Occur with Intimate Partner and Family Violence. Journal of Family Violence.","IPV cases co-occurring with animal cruelty had a HIGHER arrest rate than IPV cases co-occurring with other crime types (n=278, 2020 NIBRS data).","Descriptive/bivariate design, not causal. Publisher paywalled on fetch. Direct relevance to 'the Link' and cross-reporting rationale.",snippet
PES-US-04,US-FED,,descriptive_only,agency-level NIBRS reporting compliance,"Randour, M. L., Kearley, A., & Wireman, C. (2024). Examining Law Enforcement Agencies' Responses to the Addition of Animal Cruelty to NIBRS. American Journal of Criminal Justice, 49(4), 576-589.",Documents uneven agency-level adoption/reporting-compliance patterns following NIBRS category addition.,"Studies agency reporting behavior, not crime effects - an important data-quality caveat for anyone using NIBRS as an outcome measure in enforcement_statistics.",snippet
PES-US-05,US-FED,,descriptive_only,cruelty vs neglect classification,"Addington, L., & Randour, M. L. (2022). Intentional Cruelty Versus Neglect: New Insights on Animal Cruelty Crimes and Implications for Policy. SAGE. DOI 10.1177/08874034221098918.","New insights on distinguishing intentional cruelty from neglect in cruelty-crime data, with policy implications.",Exact journal title not independently confirmed this round - flagged rather than guessed.,snippet
PES-UK-01,UK-ENG,,no_evaluation_found,sentence length pre/post 2021 Sentencing Act,N/A - systematic search found no peer-reviewed study evaluating the Animal Welfare (Sentencing) Act 2021's causal effect on sentence length.,No study found isolating the Act's causal effect on sentencing outcomes.,"Two official descriptive-statistics sources exist and are usable for a FUTURE DiD/interrupted-time-series design once enforcement_statistics is populated (Phase 3): Sentencing Council's animal-cruelty statistical bulletin (avg 3,214 prosecutions/year, 63% conviction rate, 2016-2022) and RSPCA Prosecutions Annual Reports (2019: 661 convicted, 93.7% success rate; pre-Act 3-year total: 3,753 convictions, 156 immediate custodial sentences).",verified
PES-UKSCT-01,UK-SCT,UK-SCT-AHWA2006-AM1,descriptive_only,use of new maximum penalties post-2020 Act,"Scottish Government (2025). Review of the Animals and Wildlife (Penalties, Protections and Powers) (Scotland) Act 2020.","Courts are NOT using the new maximum penalties; the review concludes not enough time/data exists yet to determine the Act's true sentencing impact, and recommends new sentencing guidelines.","Government self-review (mixed-methods: stakeholder survey + case review), not independent academic research, but methodologically transparent and directly on-point - the closest thing to an official post-implementation evaluation found in the entire literature search.",snippet
PES-AU-01,AU-FED,,quasi_experimental_prepost,average fine amount; average custodial sentence length,"Morton, R., Hebart, M. L., & Whittaker, A. L. (2018). Increasing Maximum Penalties for Animal Welfare Offences in South Australia-Has It Caused Penal Change? Animals, 8(12), 236.","Average fines rose from AUD 700 to AUD 1,535 and average prison sentences from 37 to 77 days following South Australia's 2008 penalty-doubling - a real but proportionally modest shift, well below the new statutory maxima.","314 RSPCA-SA case files, 2006-2018, no control group. THE SINGLE CLEANEST QUASI-EXPERIMENTAL DESIGN FOUND IN THE ENTIRE LITERATURE SEARCH across all 23 jurisdictions. Study is specific to SOUTH AUSTRALIA (a state not separately represented in this database's jurisdictions table) - assigned to AU-FED as the closest available jurisdiction_id, not a true federal-level finding.",verified
PES-AU-02,AU-FED,,descriptive_only,prosecution rate; penalty utilization rate,"Morton, R., Hebart, M. L., & Whittaker, A. L. (2020). Explaining the Gap Between the Ambitious Goals and Practical Reality of Animal Welfare Law Enforcement: A Review of the Enforcement Gap in Australia. Animals, 10(3), 482.",~0.5% of cruelty reports nationally result in prosecution; courts impose <10% of available maximum penalties; enforcement heavily outsourced to under-resourced NGOs (RSPCA).,Narrative review across all Australian jurisdictions - closest available 'systematic review of effectiveness' found in the whole literature search.,verified
PES-AUVIC-01,AU-VIC,,descriptive_only,charges and sentencing outcomes by offence,Victorian Sentencing Advisory Council (2019). Animal Cruelty Offences in Victoria.,"2,960 charges sentenced across 1,115 cases, 2008-2017, Victorian court records.","Official descriptive report, not a causal evaluation, but a genuine official outcome-data source.",snippet
PES-AU-03,AU-FED,,qualitative_content_analysis,media framing of penalty adequacy,"Morton, R., Hebart, M. L., Ankeny, R., & Whittaker, A. L. (2022). Portraying Animal Cruelty: A Thematic Analysis of Australian News Media Reports on Penalties for Animal Cruelty. Animals, 12(21), 2918.",Thematic analysis linking media narrative framing to reform pressure.,"Adjacent to policy-effect evidence, not a direct effect study - included for its relevance to understanding reform-pressure dynamics.",snippet
PES-AU-04,AU-FED,,descriptive_only,public attitudes toward cruelty enforcement,"Frontiers in Animal Science (2022). Community-expectations survey, n=2,152.",87.5% of respondents believed cruelty was illegal; 65% wanted the justice system to treat animal-victim cases seriously.,"Public-attitudes baseline survey, not a before/after evaluation of any specific reform.",snippet
PES-JP-01,JP,JP-AWMA-AM1,no_evaluation_found,arrest/clearance rate,"N/A - systematic search found no peer-reviewed empirical evaluation of the 2019 penalty increase (2yr->5yr, JPY2M->JPY5M).",No academic paper regresses arrest trends on the amendment or controls for reporting-awareness confounds.,"Raw National Police Agency tracking exists as a genuine descriptive time series (2015=56 arrests -> 2023=181 record high -> 2024=160, already captured in this database's JP-AWMA-P1 provision notes) - available for Phase 3 enforcement_statistics population, but no causal study has been built on it.",verified
PES-KR-01,KR,KR-APA-AM1,qualitative_content_analysis,sentencing outcome distribution (fines vs imprisonment),"Kim, Baek, Ku, & Lee (2026). Companion-Animal Abuse in South Korea: Welfare and Veterinary Implications from Criminal-Court Decisions (2003-2025). Animals, 16(15), 2354.",Content analysis of 501 Supreme Court of Korea judgments (2003-2025): dogs 63.9% of victims; fines-only outcomes in 64.5% of cases vs. imprisonment in 14.1%; veterinary documentation present in only 1.4% of decisions.,"Spans the 2017/2021/2022 amendments but does not isolate their effect econometrically - a descriptive content analysis, not a causal design.",verified
