table_name,field_name,data_type,controlled_vocabulary,description,example
jurisdictions,jurisdiction_id,string (primary key),,"Short code, country + optional sub-jurisdiction suffix","US-FED, UK-SCT, AU-NSW"
jurisdictions,name_en,string,,Official English name,United Kingdom (Scotland)
jurisdictions,name_local,string,,Name in the jurisdiction's own official language(s),Scotland
jurisdictions,legal_system,string,common_law | civil_law,Broad legal family,common_law
jurisdictions,has_general_offence,boolean,TRUE | FALSE,Whether a general (non-species-specific) anti-cruelty criminal offence exists at this jurisdictional level,FALSE
jurisdictions,enforcement_model,string,private_prosecution | state_veterinary | police_administrative | hybrid | not_applicable | unverified,Dominant enforcement model,private_prosecution
jurisdictions,notes,string,,Free text capturing structural context not covered by other fields,
legal_instruments,instrument_id,string (primary key),,Format: {jurisdiction_id}-{short code},"FR-CP521, CN-WPL"
legal_instruments,jurisdiction_id,string (foreign key -> jurisdictions),,,FR
legal_instruments,title_official,string,,Official title in the original language,Code pénal
legal_instruments,title_en,string,,"English title (official translation if one exists, else project translation - see translation_status)",Penal Code
legal_instruments,instrument_type,string,statute | regulation | case_law | administrative_guideline | treaty | eu_directive,"Two values added 2026-09-15 (Phase 2 EU entries): 'treaty' for supranational treaty provisions (e.g. TFEU Art.13) that fit none of the original four categories; 'eu_directive' for EU secondary legislation that requires national transposition, as distinct from a directly-applicable 'regulation' (EU law's own internal distinction - do not blur the two).",statute
legal_instruments,enactment_date,date (ISO 8601) or null,,Date the instrument (or its current core version) was enacted/promulgated,2005-12-16
legal_instruments,current_status,string,in_force | repealed | superseded | pending,"Value 'pending' added 2026-09-15: for an instrument formally adopted by a legislature but not yet in force pending official-gazette publication (e.g. the EU dogs/cats welfare Regulation, adopted but awaiting Official Journal publication as of Sept 2026).",in_force
legal_instruments,official_url,string (URL),,Primary official source URL,https://www.legifrance.gouv.fr/...
legal_instruments,source_verification_tier,string,verified | snippet | unverified,"MUST ship with the published dataset, not just an internal QA field. verified = fetched directly from an official source this project. snippet = seen only via a search-engine summary, not independently fetched. unverified = background knowledge, not checked this round.",verified
legal_instruments,translation_status,string,official_current | official_but_stale | project_translation | not_applicable,Whether title_en/any translated text comes from an official translation and whether that translation is current,official_but_stale
legal_instruments,notes,string,,Added 2026-09-15: free text for instrument-level context that doesn't belong in any single provision row - e.g. an instrument that establishes a policy-scrutiny mechanism rather than a criminal offence (no provisions rows expected under it).,
provisions,provision_id,string (primary key),,Format: {instrument_id}-P{n},FR-CP521-P1
provisions,instrument_id,string (foreign key -> legal_instruments),,,FR-CP521
provisions,provision_type,string,general_cruelty | neglect_duty_of_care | abandonment | fighting | sexual_abuse | filming_distribution | killing | nuisance_dangerous_animal,nuisance_dangerous_animal is distinct from general_cruelty - use it for provisions (like China PSAPL Art.89) that regulate dangerous/disturbing animals WITHOUT criminalizing cruelty itself.,general_cruelty
provisions,animal_scope,string,all_vertebrates | vertebrates_plus_designated_invertebrates_by_regulation | vertebrates_plus_cephalopods_policy_only | domestic_and_captive_only_with_named_exclusions | protected_wildlife_species_only | captive_bred_wildlife_only | livestock_and_disease_vectors_only | companion_and_livestock_broad | vertebrates_excluding_fish | all_animals_undifferentiated | single_species_targeted | mammals_birds_reptiles_in_human_possession,"Closed vocabulary - do not free-text this field. Add a new controlled value (with a one-line justification in the codebook) rather than approximating with an existing one. Three values added 2026-09-15: vertebrates_excluding_fish (US PACT Act - mammal/bird/reptile/amphibian only, fish explicitly absent); all_animals_undifferentiated (Canada Criminal Code - 'animal or bird', no taxonomic or domestic-status qualifier at all); single_species_targeted (South Korea's dog-meat phase-out act - targets one named species, not animals-in-general). Fourth value added same session (Japan): mammals_birds_reptiles_in_human_possession - Japan's 'aigo doubutsu' definition explicitly excludes BOTH fish AND amphibians (narrower than vertebrates_excluding_fish) AND requires the animal be 'in human possession' (excludes feral/wild populations of the same species) - a combination of taxonomic-class and possession-status limits not captured by any existing value.",domestic_and_captive_only_with_named_exclusions
provisions,penalty_criminal_max_months,integer or null,,Maximum custodial sentence in months for the BASE (non-aggravated) form of this provision; null if purely administrative,36
provisions,penalty_fine_max_local_currency,number or null,,Maximum fine in the jurisdiction's local currency for the base form,45000
provisions,currency_code,string (ISO 4217) or null,,,EUR
provisions,penalty_administrative_only,boolean,TRUE | FALSE,TRUE if this provision carries no criminal (only administrative/civil) penalty,FALSE
provisions,penalty_administrative_detention_days,integer or null,,Added 2026-09-15 audit: some civil-law systems (e.g. China's 治安拘留) impose a liberty-depriving but ADMINISTRATIVE (not criminal) detention distinct from imprisonment. Use this field rather than penalty_criminal_max_months for that penalty type - do not conflate the two.,10
provisions,ancillary_orders,string (semicolon-separated controlled tokens),ownership_ban | confiscation | mandatory_counseling | corporate_liability | restitution_order | forfeiture | registry_listing | business_license_revocation,"Semicolon-separated list drawn ONLY from this vocabulary - parse by exact token match, never naive comma-split (a known failure mode from a related project: a delimiter appearing inside a label silently fragments it).",confiscation;ownership_ban
provisions,aggravating_factors,string,,"Free text describing what escalates the base penalty (e.g. death results, committed before a minor, public dissemination, repeat offence)","Death results: penalty rises to 5yr/€75,000"
provisions,effective_date,date (ISO 8601),,"Date THIS PROVISION took effect - may differ from the instrument's enactment_date by months or years (e.g. Switzerland: enacted 2005-12-16, effective 2008-09-01).",2008-09-01
provisions,source_id,string (foreign key -> sources),,,SRC-CH-01
provisions,notes,string,,"Free text for anything the controlled fields can't capture - especially tiered/escalating penalty structures that don't reduce to a single number, and corrections of widely-circulated but false claims.",
